drug	method	column	row	match_not
Rifampicin	Ariba	31	13	Match with phenotype
Rifampicin	Ariba	31	14	Match with phenotype
Rifampicin	Ariba	31	15	Match with phenotype
Rifampicin	Ariba	31	16	Match with phenotype
Rifampicin	Ariba	32	1	Match with phenotype
Rifampicin	Ariba	32	2	Match with phenotype
Rifampicin	Ariba	32	3	Match with phenotype
Rifampicin	Ariba	32	4	Match with phenotype
Rifampicin	Ariba	32	5	Match with phenotype
Rifampicin	Ariba	32	6	Not match with phenotype
Rifampicin	Ariba	32	7	Match with phenotype
Rifampicin	Ariba	32	8	Match with phenotype
Rifampicin	Ariba	32	9	Not match with phenotype
Rifampicin	Ariba	32	10	Match with phenotype
Rifampicin	Ariba	32	11	Match with phenotype
Rifampicin	Ariba	32	12	Match with phenotype
Rifampicin	Ariba	32	13	Match with phenotype
Rifampicin	Ariba	32	14	Not match with phenotype
Rifampicin	Ariba	32	15	Match with phenotype
Rifampicin	Ariba	32	16	Match with phenotype
Rifampicin	Ariba	33	1	Match with phenotype
Rifampicin	Ariba	33	2	Match with phenotype
Rifampicin	Ariba	33	3	Match with phenotype
Rifampicin	Ariba	33	4	Match with phenotype
Rifampicin	Ariba	33	5	Match with phenotype
Rifampicin	Ariba	33	6	Match with phenotype
Rifampicin	Ariba	33	7	Match with phenotype
Rifampicin	Ariba	33	8	Match with phenotype
Rifampicin	Ariba	33	9	Match with phenotype
Rifampicin	Ariba	33	10	Not match with phenotype
Rifampicin	Ariba	33	11	Match with phenotype
Rifampicin	Ariba	33	12	Not match with phenotype
Rifampicin	Ariba	33	13	Match with phenotype
Rifampicin	Ariba	33	14	Match with phenotype
Rifampicin	Ariba	33	15	Match with phenotype
Rifampicin	Ariba	33	16	Match with phenotype
Rifampicin	Ariba	34	1	Match with phenotype
Rifampicin	Ariba	34	2	Match with phenotype
Rifampicin	Ariba	34	3	Match with phenotype
Rifampicin	Ariba	34	4	Match with phenotype
Rifampicin	Ariba	34	5	Match with phenotype
Rifampicin	Ariba	34	6	Match with phenotype
Rifampicin	Ariba	34	7	Match with phenotype
Rifampicin	Ariba	34	8	Match with phenotype
Rifampicin	Ariba	34	9	Match with phenotype
Rifampicin	Ariba	34	10	Match with phenotype
Rifampicin	Ariba	34	11	Match with phenotype
Rifampicin	Ariba	34	12	Match with phenotype
Rifampicin	Ariba	34	13	Match with phenotype
Rifampicin	Ariba	34	14	Match with phenotype
Rifampicin	Ariba	34	15	Match with phenotype
Rifampicin	Ariba	34	16	Match with phenotype
Rifampicin	Ariba	35	1	Match with phenotype
Rifampicin	Ariba	35	2	Match with phenotype
Rifampicin	Ariba	35	3	Match with phenotype
Rifampicin	Ariba	35	4	Match with phenotype
Rifampicin	Ariba	35	5	Match with phenotype
Rifampicin	Ariba	35	6	Match with phenotype
Rifampicin	Ariba	35	7	Match with phenotype
Rifampicin	Ariba	35	8	Match with phenotype
Rifampicin	Ariba	35	9	Match with phenotype
Rifampicin	Ariba	35	10	Match with phenotype
Rifampicin	Ariba	35	11	Match with phenotype
Rifampicin	Ariba	35	12	Match with phenotype
Rifampicin	Ariba	35	13	Match with phenotype
Rifampicin	Ariba	35	14	Match with phenotype
Rifampicin	Ariba	35	15	Match with phenotype
Rifampicin	Ariba	35	16	Match with phenotype
Rifampicin	Ariba	36	1	Match with phenotype
Rifampicin	Ariba	36	2	Match with phenotype
Rifampicin	Ariba	36	3	Match with phenotype
Rifampicin	Ariba	36	4	Match with phenotype
Rifampicin	Ariba	36	5	Match with phenotype
Rifampicin	Ariba	36	6	Match with phenotype
Rifampicin	Ariba	36	7	Match with phenotype
Rifampicin	Ariba	36	8	Match with phenotype
Rifampicin	Ariba	36	9	Match with phenotype
Rifampicin	Ariba	36	10	Match with phenotype
Rifampicin	Ariba	36	11	Match with phenotype
Rifampicin	Ariba	36	12	Match with phenotype
Rifampicin	Ariba	36	13	Match with phenotype
Rifampicin	Ariba	36	14	Match with phenotype
Rifampicin	Ariba	36	15	Match with phenotype
Rifampicin	Ariba	36	16	Match with phenotype
Rifampicin	Ariba	37	1	Match with phenotype
Rifampicin	Ariba	37	2	Match with phenotype
Rifampicin	Ariba	37	3	Match with phenotype
